1 , 9684 , 5.074
1 , 9090 , 4.483
1 , 9652 , 4.348
1 , 9574 , 4.327
1 , 9281 , 4.216
1 , 9891 , 4.038
1 , 7844 , 4.002
1 , 6171 , 4.001
1 , 9198 , 3.98
1 , 8446 , 3.965
1 , 5690 , 3.869
1 , 6850 , 3.845
1 , 9584 , 3.811
1 , 9591 , 3.811
1 , 9616 , 3.764
1 , 9665 , 3.735
1 , 5493 , 3.681
1 , 6567 , 3.677
1 , 6915 , 3.654
1 , 5023 , 3.638
1 , 7853 , 3.638
1 , 7732 , 3.623
1 , 8871 , 3.578
1 , 8124 , 3.506
1 , 6602 , 3.485
1 , 7353 , 3.447
1 , 8564 , 3.344
1 , 8419 , 3.318
1 , 7735 , 3.289
1 , 7730 , 3.275
1 , 9069 , 3.218
1 , 8179 , 3.201
1 , 7745 , 3.2
1 , 9156 , 3.121
1 , 9394 , 3.121
1 , 9625 , 3.121
1 , 5936 , 3.116
1 , 9961 , 3.116
1 , 5014 , 3.077
1 , 6675 , 3.07
1 , 7811 , 3.07
1 , 7980 , 3.017
1 , 7553 , 2.964
1 , 6473 , 2.954
1 , 7771 , 2.932
1 , 8270 , 2.932
1 , 5660 , 2.893
1 , 8375 , 2.893
1 , 5368 , 2.876
1 , 9530 , 2.876
1 , 7925 , 2.858
1 , 8170 , 2.833
1 , 6927 , 2.83
1 , 5019 , 2.821
1 , 6470 , 2.814
1 , 7821 , 2.801
1 , 6182 , 2.763
1 , 6894 , 2.744
1 , 9572 , 2.744
1 , 10034 , 2.725
1 , 6848 , 2.702
1 , 6640 , 2.685
1 , 9478 , 2.653
1 , 6050 , 2.649
1 , 7879 , 2.632
1 , 5687 , 2.628
1 , 7183 , 2.628
1 , 9595 , 2.628
1 , 7909 , 2.606
1 , 5169 , 2.6
1 , 6381 , 2.6
1 , 7598 , 2.6
1 , 8922 , 2.6
1 , 6484 , 2.59
1 , 6907 , 2.59
1 , 9247 , 2.59
1 , 9371 , 2.59
1 , 9487 , 2.59
1 , 9860 , 2.59
1 , 5776 , 2.572
1 , 7965 , 2.572
1 , 9192 , 2.572
1 , 5825 , 2.571
1 , 6964 , 2.533
1 , 7151 , 2.533
1 , 8741 , 2.532
1 , 7142 , 2.498
1 , 8326 , 2.498
1 , 9499 , 2.498
1 , 9853 , 2.498
1 , 6308 , 2.495
1 , 6601 , 2.495
1 , 9076 , 2.495
1 , 5506 , 2.488
1 , 6342 , 2.437
1 , 8370 , 2.437
1 , 5101 , 2.424
1 , 6967 , 2.424
1 , 7532 , 2.424
1 , 5807 , 2.403
1 , 7206 , 2.403
1 , 7396 , 2.403
1 , 8684 , 2.403
1 , 6006 , 2.399
1 , 5350 , 2.377
1 , 5698 , 2.377
1 , 6300 , 2.377
1 , 6471 , 2.377
1 , 6849 , 2.377
1 , 5697 , 2.36
1 , 5954 , 2.36
1 , 6971 , 2.36
1 , 7230 , 2.36
1 , 8193 , 2.36
1 , 8716 , 2.36
1 , 9315 , 2.36
1 , 5095 , 2.359
1 , 5229 , 2.359
1 , 5464 , 2.359
1 , 5625 , 2.359
1 , 6410 , 2.359
1 , 6780 , 2.359
1 , 7715 , 2.359
1 , 8187 , 2.359
1 , 8545 , 2.359
1 , 8740 , 2.359
1 , 9071 , 2.359
1 , 8856 , 2.303
