verse|context
99:1|When the earth is shaken with its mighty shaking,
99:2|and when the earth brings forth its burdens
99:4|On that Day it shall proclaim its news,
99:5|for your Lord will have revealed to it.
99:6|On that Day mankind shall issue in scatterings to see their deeds.
99:7|Whosoever has done an atom's weight of good shall see it,
99:8|and whosoever has done an atom's weight of evil shall see it.
