verse|context
100:1|By the snorting runners (the horses),
100:2|by the strikers of fire,
100:3|by the dawnraiders,
100:4|raising a trail of dust,
100:5|dividing the gathering.
100:6|Indeed, the human is ungrateful to his Lord.
100:7|To this he himself shall bear witness.
100:8|And indeed he is ardent for the love of good (wealth, becoming greedy).
100:9|Does he not know that when that which is in the graves is overthrown,
100:10|and that which is in the chest is brought out,
100:11|indeed, on that Day their Lord will be aware of them!
