verse|context
104:1|Woe to every backbiter, slanderer
104:2|who amasses wealth and counts it,
104:3|thinking his wealth will render him immortal!
104:4|On the contrary! He shall be flung to the Crusher.
104:5|What shall let you know what the Crusher is?
104:6|(It is) the kindled Fire of Allah,
104:7|which shall oversee the hearts,
104:8|closed around them
104:9|in extended columns.
