verse|context
93:1|By the midmorning,
93:2|and by the night when it covers,
93:3|your Lord has not forsaken you (Prophet Muhammad), nor does He hate you.
93:4|The Last shall be better for you than the First.
93:5|Your Lord will give you, and you will be satisfied.
93:6|Did He not find you an orphan and give you shelter?
93:7|Did He not find you a wanderer so He guided you?
93:8|Did He not find you poor and suffice you?
93:9|Do not oppress the orphan,
93:10|nor drive away the one who asks.
93:11|But tell of the favors of your Lord!
