verse|context
111:1|Perish the hands of AbiLahab, and perish he!
111:2|His wealth will not suffice him, neither what he has gained;
111:3|he shall roast at a Flaming Fire,
111:4|and his wife, laden with firewood
111:5|shall have a rope of palmfiber around her neck!
