verse|context
87:1|Exalt the Name of your Lord, the Highest,
87:2|who has created and shaped,
87:3|who has ordained and guided,
87:4|who brings forth the pastures,
87:5|then made it dry dark, flaky stubble,
87:6|We shall make you recite so that you will not forget,
87:7|except what Allah wills, surely, He knows all that is (spoken) aloud and what is hidden.
87:8|We shall ease you to the easy.
87:9|Therefore remind, if the Reminder benefits,
87:10|and he who fears shall remember,
87:11|but the most wretched shall avoid it,
87:12|who will roast in the Great Fire,
87:13|in which he will neither die nor live therein.
87:14|Prosperous is he who purifies himself,
87:15|and remembers the Name of his Lord, so he prays.
87:16|But you prefer the present life,
87:17|but the Everlasting Life is better, and more enduring.
87:18|Surely, this is in the ancient Scrolls,
87:19|the Scrolls of Abraham and Moses.
