verse|context
105:1|Have you not seen how Allah dealt with the companions of the Elephant?
105:2|Did He not cause their schemes to go astray?
105:3|And He sent against them flights of birds
105:4|pelting them with stones of baked clay,
105:5|so that He made them like straw eaten (by cattle).
